entity,added,deleted,net,revisions
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/scm/mercurial/MercurialTestCase.java,104,104,0,4
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/UniqueBranchGenerator.java,102,14,88,4
pretested-integration-plugin/src/test/resources/EndUserTesting/JenkinsfileDeclarative,100,60,40,7
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GHI98_SupportForCredentialsIT.java,95,3,92,3
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitUtils.java,89,85,4,7
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestedIntegrationAsGitPluginExtJobDslExtension.java,87,87,0,2
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestcommit/HelloWorldBuilder/config.jelly,87,87,0,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scminterface/PretestedIntegrationSCMInterface.java,85,85,0,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/IntegrationUnknownFailureException.java,82,41,41,3
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/IntegrationStrategyAsGitPluginExt.java,80,41,39,5
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GetCommitCountFromBranchCallbackIT.java,80,16,64,8
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/ChangelessBranchFailsBuildIT.java,78,19,59,7
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/TestCommitQueue.java,78,78,0,3
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/SCMInterface.java,76,76,0,5
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GetCommitCountFromBranchCallback.java,75,16,59,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestTriggerCommitAction.java,74,37,37,5
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretest_commit/PretestCommitPreCheckout/config.jelly,73,73,0,4
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/PretestedIntegrationIT.java,72,72,0,11
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/BuildQueue.java,71,71,0,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/CommitQueue.java,69,69,0,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/FindCommitMessageCallback.java,67,29,38,9
pretested-integration-plugin/src/test/resources/commitMessagesWithDoubleQuotes_linux.sh.log,66,0,66,1
pretested-integration-plugin/src/test/resources/commitMessagesWithDoubleQuotes_windows.bat,61,0,61,1
pretested-integration-plugin/src/test/resources/commitMessagesWithDoubleQuotesSingleQuotesMade_windows.bat,61,0,61,1
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestcommit/HelloWorldBuilder/global.jelly,61,61,0,9
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,61,28,33,11
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/FindCommitAuthorCallback.java,59,21,38,7
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/GitIntegrationStrategyTest.java,56,11,45,4
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/RepositoryListenerAwareCallback.java,56,27,29,8
pretested-integration-plugin/resources/hg_change_group_hook.py,55,56,-1,5
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/UnsupportedConfigurationException.java,55,20,35,9
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/NothingToDoFailsBuild.java,53,0,53,1
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestedIntegrationAsGitPluginExt/config.jelly,50,28,22,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/SCMBridgeDescriptor.java,49,27,22,12
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummyBridge.java,49,17,32,12
pretested-integration-plugin/src/test/resources/useAuthorOfLastCommit-repo_description.log,47,0,47,1
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/IntegrationFailedException.java,47,6,41,2
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationBuildWrapper/config.jelly,45,37,8,14
pretested-integration-plugin/resources/HelloWorldBuilder - jelly example/config.jelly,43,43,0,2
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitMessages.java,42,20,22,8
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/Commit.java,41,41,0,8
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scminterface/AvailableInterfaces.java,40,40,0,3
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/CommitFailedException.java,40,6,34,4
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/SCMPostBuildBehaviour.java,39,39,0,4
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummyIntegrationStrategy.java,36,12,24,4
